Unnamed: 0,Class
sample_661,PRAD
sample_72,BRCA
sample_9,PRAD
sample_316,KIRC
sample_519,PRAD
sample_314,LUAD
sample_489,BRCA
sample_588,COAD
sample_410,BRCA
sample_263,COAD
sample_707,PRAD
sample_205,PRAD
sample_56,BRCA
sample_477,PRAD
sample_758,BRCA
sample_123,BRCA
sample_411,PRAD
sample_678,PRAD
sample_639,BRCA
sample_515,BRCA
sample_454,BRCA
sample_610,PRAD
sample_252,COAD
sample_725,BRCA
sample_537,PRAD
sample_635,LUAD
sample_3,PRAD
sample_496,PRAD
sample_264,COAD
sample_603,BRCA
sample_85,PRAD
sample_449,BRCA
sample_198,LUAD
sample_423,KIRC
sample_4,BRCA
sample_441,BRCA
sample_375,BRCA
sample_105,KIRC
sample_720,LUAD
sample_275,PRAD
sample_709,PRAD
sample_186,LUAD
sample_121,KIRC
sample_580,LUAD
sample_482,KIRC
sample_710,BRCA
sample_229,LUAD
sample_349,LUAD
sample_650,COAD
sample_432,BRCA
sample_746,BRCA
sample_541,BRCA
sample_459,BRCA
sample_628,KIRC
sample_614,BRCA
sample_747,BRCA
sample_548,PRAD
sample_378,BRCA
sample_658,PRAD
sample_325,BRCA
sample_737,BRCA
sample_64,PRAD
sample_451,BRCA
sample_415,BRCA
sample_742,BRCA
sample_679,KIRC
sample_564,LUAD
sample_382,COAD
sample_358,BRCA
sample_135,KIRC
sample_74,BRCA
sample_554,KIRC
sample_648,LUAD
sample_371,COAD
sample_253,BRCA
sample_452,BRCA
sample_67,PRAD
sample_748,KIRC
sample_144,LUAD
sample_571,PRAD
sample_226,KIRC
sample_782,BRCA
sample_40,KIRC
sample_550,LUAD
sample_385,BRCA
sample_315,PRAD
sample_126,PRAD
sample_749,LUAD
sample_221,LUAD
sample_642,BRCA
sample_676,KIRC
sample_691,LUAD
sample_265,PRAD
sample_534,KIRC
sample_629,BRCA
sample_81,PRAD
sample_531,COAD
sample_148,LUAD
sample_151,LUAD
sample_521,KIRC
sample_559,KIRC
